  yyyymmdd   hhmmss      AZ           ALT         Dero          HA          DEC 
  20160714  105050.00   0.593866018  32.713238957  -141.533052623  -38.9288064  89.2641361
  20160714  105050.10   0.593860681  32.713242624  -141.533466081  -38.9283886  89.2641361
  20160714  105050.20   0.593855344  32.713246291  -141.533879538  -38.9279708  89.2641361
  20160714  105050.30   0.593850007  32.713249958  -141.534292995  -38.9275530  89.2641361
  20160714  105050.40   0.593844670  32.713253625  -141.534706453  -38.9271352  89.2641361
  20160714  105050.50   0.593839333  32.713257292  -141.535119910  -38.9267174  89.2641361
  20160714  105050.60   0.593833995  32.713260958  -141.535533367  -38.9262996  89.2641361
  20160714  105050.70   0.593828658  32.713264625  -141.535946824  -38.9258818  89.2641361
  20160714  105050.80   0.593823321  32.713268292  -141.536360282  -38.9254640  89.2641361
  20160714  105050.90   0.593817983  32.713271958  -141.536773739  -38.9250461  89.2641361
  20160714  105051.00   0.593812646  32.713275625  -141.537187196  -38.9246283  89.2641361
  20160714  105051.10   0.593807308  32.713279292  -141.537600653  -38.9242105  89.2641361
  20160714  105051.20   0.593801971  32.713282958  -141.538014110  -38.9237927  89.2641361
  20160714  105051.30   0.593796634  32.713286625  -141.538427568  -38.9233749  89.2641361
  20160714  105051.40   0.593791296  32.713290291  -141.538841025  -38.9229571  89.2641361
  20160714  105051.50   0.593785958  32.713293958  -141.539254482  -38.9225393  89.2641361
  20160714  105051.60   0.593780621  32.713297624  -141.539667939  -38.9221215  89.2641361
  20160714  105051.70   0.593775283  32.713301291  -141.540081396  -38.9217037  89.2641361
  20160714  105051.80   0.593769946  32.713304957  -141.540494853  -38.9212859  89.2641361
  20160714  105051.90   0.593764608  32.713308623  -141.540908310  -38.9208681  89.2641361
  20160714  105052.00   0.593759270  32.713312290  -141.541321767  -38.9204502  89.2641361
  20160714  105052.10   0.593753932  32.713315956  -141.541735224  -38.9200324  89.2641361
  20160714  105052.20   0.593748595  32.713319622  -141.542148681  -38.9196146  89.2641361
  20160714  105052.30   0.593743257  32.713323288  -141.542562138  -38.9191968  89.2641361
  20160714  105052.40   0.593737919  32.713326954  -141.542975595  -38.9187790  89.2641361
  20160714  105052.50   0.593732581  32.713330621  -141.543389052  -38.9183612  89.2641361
  20160714  105052.60   0.593727243  32.713334287  -141.543802509  -38.9179434  89.2641361
  20160714  105052.70   0.593721905  32.713337953  -141.544215966  -38.9175256  89.2641361
  20160714  105052.80   0.593716567  32.713341619  -141.544629422  -38.9171078  89.2641361
  20160714  105052.90   0.593711229  32.713345285  -141.545042879  -38.9166900  89.2641361
  20160714  105053.00   0.593705891  32.713348951  -141.545456336  -38.9162722  89.2641361
  20160714  105053.10   0.593700553  32.713352617  -141.545869793  -38.9158543  89.2641361
  20160714  105053.20   0.593695215  32.713356283  -141.546283250  -38.9154365  89.2641361
  20160714  105053.30   0.593689877  32.713359948  -141.546696706  -38.9150187  89.2641361
  20160714  105053.40   0.593684539  32.713363614  -141.547110163  -38.9146009  89.2641361
  20160714  105053.50   0.593679200  32.713367280  -141.547523620  -38.9141831  89.2641361
  20160714  105053.60   0.593673862  32.713370946  -141.547937077  -38.9137653  89.2641361
  20160714  105053.70   0.593668524  32.713374612  -141.548350533  -38.9133475  89.2641361
  20160714  105053.80   0.593663186  32.713378277  -141.548763990  -38.9129297  89.2641361
  20160714  105053.90   0.593657847  32.713381943  -141.549177447  -38.9125119  89.2641361
  20160714  105054.00   0.593652509  32.713385609  -141.549590903  -38.9120941  89.2641361
  20160714  105054.10   0.593647170  32.713389274  -141.550004360  -38.9116763  89.2641361
  20160714  105054.20   0.593641832  32.713392940  -141.550417816  -38.9112584  89.2641361
  20160714  105054.30   0.593636494  32.713396605  -141.550831273  -38.9108406  89.2641361
  20160714  105054.40   0.593631155  32.713400271  -141.551244729  -38.9104228  89.2641361
  20160714  105054.50   0.593625817  32.713403936  -141.551658186  -38.9100050  89.2641361
  20160714  105054.60   0.593620478  32.713407602  -141.552071642  -38.9095872  89.2641361
  20160714  105054.70   0.593615139  32.713411267  -141.552485099  -38.9091694  89.2641361
  20160714  105054.80   0.593609801  32.713414933  -141.552898555  -38.9087516  89.2641361
