Mount     AZ  LIMIT+          20160628.09:43:06.535    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160628.09:43:06.535    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160628.09:43:06.535    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160628.09:43:08.606    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160628.09:43:08.606    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160628.09:43:08.607    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160628.09:46:29.023    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160628.09:46:29.023    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160628.09:46:29.023    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160628.09:57:45.651    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160628.09:57:45.651    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160628.09:57:45.651    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160628.09:59:19.499    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160628.09:59:19.500    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160628.09:59:19.500    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160628.09:59:35.286    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160628.09:59:35.286    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160628.09:59:35.286    	ALT  LIMIT-                                                                                        
