Mount     ALT  LIMIT+         20160905.11:50:25.088    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:25.088    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:27.186    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:27.186    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:29.189    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:29.189    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:31.195    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:31.195    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:33.200    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:33.201    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:35.189    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:35.190    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:37.188    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:37.188    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:39.284    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:39.284    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:41.182    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:41.182    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:43.188    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:43.188    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:45.180    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:45.180    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:47.181    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:47.181    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:49.180    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:49.180    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:51.189    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:51.190    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:53.182    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:53.182    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:55.182    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:55.183    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:57.189    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:57.190    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:50:59.190    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:50:59.190    	ALT  LIMIT-                                                                                        
